Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611733230,2021-01-27 02:40:30,0x0000d717,0x00008a9d,64,27,9,00:17:88:01:08:81:33:d3,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x00008a9d,0x0000d717,126,89,121,00:17:88:01:05:17:1e:2a,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x00008a9d,0x0000d717,50,13,122,00:17:88:01:05:17:1e:2a,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x0000d717,0x00008a9d,53,16,11,00:17:88:01:08:81:33:d3,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x00008a9d,0x0000d717,50,13,123,00:17:88:01:05:17:1e:2a,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x0000d717,0x00008a9d,53,16,13,00:17:88:01:08:81:33:d3,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x00008a9d,0x0000d717,62,25,124,00:17:88:01:05:17:1e:2a,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x0000d717,0x00008a9d,87,50,15,00:17:88:01:08:81:33:d3,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x0000d717,0x00008a9d,64,27,17,00:17:88:01:08:81:33:d3,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x00008a9d,0x0000d717,126,89,125,00:17:88:01:05:17:1e:2a,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x0000d717,0x00008a9d,64,27,19,00:17:88:01:08:81:33:d3,ZR,ZR,1,6
1611733230,2021-01-27 02:40:30,0x00008a9d,0x0000d717,126,89,126,00:17:88:01:05:17:1e:2a,ZR,ZR,1,6
